instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_bin,hour_bin,cnt_bin
23,2011-01-01,Spring,2011,January,22,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.94,0.2239,11,17,28,sejuk,malam,rendah
24,2011-01-01,Spring,2011,January,23,No,Sunday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.88,0.2985,15,24,39,sejuk,malam,rendah
25,2011-01-02,Spring,2011,January,0,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.88,0.2985,4,13,17,sejuk,subuh,rendah
26,2011-01-02,Spring,2011,January,1,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.44,0.4394,0.94,0.2537,1,16,17,sejuk,subuh,rendah
27,2011-01-02,Spring,2011,January,2,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.42,0.4242,1.0,0.2836,1,8,9,sejuk,subuh,rendah
28,2011-01-02,Spring,2011,January,3,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.94,0.194,2,4,6,sejuk,subuh,rendah
29,2011-01-02,Spring,2011,January,4,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.4545,0.94,0.194,2,1,3,sejuk,subuh,rendah
30,2011-01-02,Spring,2011,January,6,No,Monday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.42,0.4242,0.77,0.2985,0,2,2,sejuk,subuh,rendah
31,2011-01-02,Spring,2011,January,7,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4,0.4091,0.76,0.194,0,1,1,sejuk,pagi,rendah
32,2011-01-02,Spring,2011,January,8,No,Monday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.4,0.4091,0.71,0.2239,0,8,8,sejuk,pagi,rendah
33,2011-01-02,Spring,2011,January,9,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.38,0.3939,0.76,0.2239,1,19,20,sejuk,pagi,rendah
34,2011-01-02,Spring,2011,January,10,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3485,0.81,0.2239,7,46,53,sejuk,pagi,rendah
35,2011-01-02,Spring,2011,January,11,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.71,0.2537,16,54,70,sejuk,siang,rendah
36,2011-01-02,Spring,2011,January,12,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.66,0.2985,20,73,93,sejuk,siang,rendah
37,2011-01-02,Spring,2011,January,13,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3485,0.66,0.1343,11,64,75,sejuk,siang,rendah
38,2011-01-02,Spring,2011,January,14,No,Monday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.36,0.3485,0.76,0.194,4,55,59,sejuk,siang,rendah
39,2011-01-02,Spring,2011,January,15,No,Monday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.34,0.3333,0.81,0.1642,19,55,74,sejuk,siang,rendah
40,2011-01-02,Spring,2011,January,16,No,Monday,No,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.34,0.3333,0.71,0.1642,9,67,76,sejuk,siang,rendah
41,2011-01-02,Spring,2011,January,17,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.34,0.3333,0.57,0.194,7,58,65,sejuk,sore,rendah
42,2011-01-02,Spring,2011,January,18,No,Monday,No,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.36,0.3333,0.46,0.3284,10,43,53,sejuk,sore,rendah
43,2011-01-02,Spring,2011,January,19,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.32,0.2879,0.42,0.4478,1,29,30,sejuk,malam,rendah
44,2011-01-02,Spring,2011,January,20,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.3,0.2727,0.39,0.3582,5,17,22,dingin,malam,rendah
45,2011-01-02,Spring,2011,January,21,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.26,0.2273,0.44,0.3284,11,20,31,dingin,malam,rendah
46,2011-01-02,Spring,2011,January,22,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.24,0.2121,0.44,0.2985,0,9,9,dingin,malam,rendah
47,2011-01-02,Spring,2011,January,23,No,Monday,No,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.47,0.1642,0,8,8,dingin,malam,rendah
48,2011-01-03,Spring,2011,January,0,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.197,0.44,0.3582,0,5,5,dingin,subuh,rendah
49,2011-01-03,Spring,2011,January,1,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.1667,0.44,0.4179,0,2,2,dingin,subuh,rendah
50,2011-01-03,Spring,2011,January,4,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.1364,0.47,0.3881,0,1,1,dingin,subuh,rendah
51,2011-01-03,Spring,2011,January,5,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.1364,0.47,0.2836,0,3,3,dingin,subuh,rendah
52,2011-01-03,Spring,2011,January,6,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.14,0.1061,0.5,0.3881,0,30,30,dingin,subuh,rendah
53,2011-01-03,Spring,2011,January,7,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.14,0.1364,0.5,0.194,1,63,64,dingin,pagi,rendah
54,2011-01-03,Spring,2011,January,8,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.14,0.1212,0.5,0.2836,1,153,154,dingin,pagi,rendah
55,2011-01-03,Spring,2011,January,9,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.1364,0.43,0.3881,7,81,88,dingin,pagi,rendah
56,2011-01-03,Spring,2011,January,10,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.18,0.1667,0.43,0.2537,11,33,44,dingin,pagi,rendah
57,2011-01-03,Spring,2011,January,11,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.1818,0.4,0.3284,10,41,51,dingin,siang,rendah
58,2011-01-03,Spring,2011,January,12,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2121,0.35,0.2985,13,48,61,dingin,siang,rendah
59,2011-01-03,Spring,2011,January,13,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2121,0.35,0.2836,8,53,61,dingin,siang,rendah
60,2011-01-03,Spring,2011,January,14,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2424,0.3,0.2836,11,66,77,dingin,siang,rendah
61,2011-01-03,Spring,2011,January,15,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2424,0.3,0.2537,14,58,72,dingin,siang,rendah
62,2011-01-03,Spring,2011,January,16,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2424,0.3,0.2537,9,67,76,dingin,siang,rendah
63,2011-01-03,Spring,2011,January,17,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2273,0.3,0.2239,11,146,157,dingin,sore,rendah
64,2011-01-03,Spring,2011,January,18,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2576,0.32,0.1045,9,148,157,dingin,sore,rendah
65,2011-01-03,Spring,2011,January,19,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.47,0.0,8,102,110,dingin,malam,rendah
66,2011-01-03,Spring,2011,January,20,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.2273,0.47,0.1045,3,49,52,dingin,malam,rendah
67,2011-01-03,Spring,2011,January,21,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.18,0.197,0.64,0.1343,3,49,52,dingin,malam,rendah
68,2011-01-03,Spring,2011,January,22,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.14,0.1515,0.69,0.1343,0,20,20,dingin,malam,rendah
69,2011-01-03,Spring,2011,January,23,No,Tuesday,Yes,"Clear, Few clouds, Partly cloudy",0.18,0.2121,0.55,0.1045,1,11,12,dingin,malam,rendah
70,2011-01-04,Spring,2011,January,0,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.1818,0.55,0.1045,0,5,5,dingin,subuh,rendah
71,2011-01-04,Spring,2011,January,1,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.1818,0.59,0.1045,0,2,2,dingin,subuh,rendah
72,2011-01-04,Spring,2011,January,2,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.14,0.1515,0.63,0.1343,0,1,1,dingin,subuh,rendah
73,2011-01-04,Spring,2011,January,4,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.14,0.1818,0.63,0.0896,0,2,2,dingin,subuh,rendah
74,2011-01-04,Spring,2011,January,5,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.12,0.1515,0.68,0.1045,0,4,4,dingin,subuh,rendah
75,2011-01-04,Spring,2011,January,6,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.12,0.1515,0.74,0.1045,0,36,36,dingin,subuh,rendah
76,2011-01-04,Spring,2011,January,7,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.12,0.1515,0.74,0.1343,2,92,94,dingin,pagi,rendah
77,2011-01-04,Spring,2011,January,8,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.14,0.1515,0.69,0.1642,2,177,179,dingin,pagi,rendah
78,2011-01-04,Spring,2011,January,9,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.1515,0.64,0.2239,2,98,100,dingin,pagi,rendah
79,2011-01-04,Spring,2011,January,10,No,Wednesday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.1364,0.69,0.3284,5,37,42,dingin,pagi,rendah
80,2011-01-04,Spring,2011,January,11,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2121,0.51,0.2985,7,50,57,dingin,siang,rendah
81,2011-01-04,Spring,2011,January,12,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.51,0.1642,12,66,78,dingin,siang,rendah
82,2011-01-04,Spring,2011,January,13,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2273,0.56,0.194,18,79,97,dingin,siang,rendah
83,2011-01-04,Spring,2011,January,14,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2576,0.52,0.2239,9,54,63,dingin,siang,rendah
84,2011-01-04,Spring,2011,January,15,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.28,0.2727,0.52,0.2537,17,48,65,dingin,siang,rendah
85,2011-01-04,Spring,2011,January,16,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.3,0.2879,0.49,0.2537,15,68,83,dingin,siang,rendah
86,2011-01-04,Spring,2011,January,17,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.28,0.2727,0.48,0.2239,10,202,212,dingin,sore,rendah
87,2011-01-04,Spring,2011,January,18,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2576,0.48,0.194,3,179,182,dingin,sore,rendah
88,2011-01-04,Spring,2011,January,19,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2576,0.48,0.1045,2,110,112,dingin,malam,rendah
89,2011-01-04,Spring,2011,January,20,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2576,0.48,0.1045,1,53,54,dingin,malam,rendah
90,2011-01-04,Spring,2011,January,21,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2727,0.64,0.0,0,48,48,dingin,malam,rendah
91,2011-01-04,Spring,2011,January,22,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2576,0.64,0.0896,1,34,35,dingin,malam,rendah
92,2011-01-04,Spring,2011,January,23,No,Wednesday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.2273,0.69,0.0896,2,9,11,dingin,malam,rendah
93,2011-01-05,Spring,2011,January,0,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.64,0.0,0,6,6,dingin,subuh,rendah
94,2011-01-05,Spring,2011,January,1,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.197,0.74,0.0896,0,6,6,dingin,subuh,rendah
95,2011-01-05,Spring,2011,January,2,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.197,0.74,0.0896,0,2,2,dingin,subuh,rendah
96,2011-01-05,Spring,2011,January,4,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2273,0.48,0.2239,0,2,2,dingin,subuh,rendah
97,2011-01-05,Spring,2011,January,5,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.47,0.1642,0,3,3,dingin,subuh,rendah
98,2011-01-05,Spring,2011,January,6,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.197,0.47,0.2239,0,33,33,dingin,subuh,rendah
99,2011-01-05,Spring,2011,January,7,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.18,0.1818,0.43,0.194,1,87,88,dingin,pagi,rendah
100,2011-01-05,Spring,2011,January,8,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.1818,0.4,0.2985,3,192,195,dingin,pagi,rendah
101,2011-01-05,Spring,2011,January,9,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.197,0.37,0.3284,6,109,115,dingin,pagi,rendah
102,2011-01-05,Spring,2011,January,10,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.197,0.37,0.3284,4,53,57,dingin,pagi,rendah
103,2011-01-05,Spring,2011,January,11,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2273,0.33,0.3284,12,34,46,dingin,siang,rendah
104,2011-01-05,Spring,2011,January,12,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2273,0.33,0.3284,5,74,79,dingin,siang,rendah
105,2011-01-05,Spring,2011,January,13,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.28,0.2576,0.3,0.2985,6,65,71,dingin,siang,rendah
106,2011-01-05,Spring,2011,January,14,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.3,0.2879,0.28,0.194,10,52,62,dingin,siang,rendah
107,2011-01-05,Spring,2011,January,15,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.3,0.2879,0.28,0.194,7,55,62,dingin,siang,rendah
108,2011-01-05,Spring,2011,January,16,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.3,0.3182,0.28,0.0896,4,85,89,dingin,siang,rendah
109,2011-01-05,Spring,2011,January,17,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2273,0.38,0.194,4,186,190,dingin,sore,rendah
110,2011-01-05,Spring,2011,January,18,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2424,0.38,0.1343,3,166,169,dingin,sore,rendah
111,2011-01-05,Spring,2011,January,19,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.24,0.2576,0.38,0.1045,5,127,132,dingin,malam,rendah
112,2011-01-05,Spring,2011,January,20,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.47,0.1642,7,82,89,dingin,malam,rendah
113,2011-01-05,Spring,2011,January,21,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.197,0.51,0.194,3,40,43,dingin,malam,rendah
114,2011-01-05,Spring,2011,January,22,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.18,0.197,0.55,0.1343,1,41,42,dingin,malam,rendah
115,2011-01-05,Spring,2011,January,23,No,Thursday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.47,0.0,1,18,19,dingin,malam,rendah
116,2011-01-06,Spring,2011,January,0,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.18,0.2424,0.55,0.0,0,11,11,dingin,subuh,rendah
117,2011-01-06,Spring,2011,January,1,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.2273,0.64,0.0,0,4,4,dingin,subuh,rendah
118,2011-01-06,Spring,2011,January,2,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.2273,0.64,0.0,0,2,2,dingin,subuh,rendah
119,2011-01-06,Spring,2011,January,4,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.197,0.64,0.0896,0,1,1,dingin,subuh,rendah
120,2011-01-06,Spring,2011,January,5,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.14,0.1818,0.69,0.0896,0,4,4,dingin,subuh,rendah
121,2011-01-06,Spring,2011,January,6,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.14,0.1667,0.63,0.1045,0,36,36,dingin,subuh,rendah
122,2011-01-06,Spring,2011,January,7,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.16,0.2273,0.59,0.0,0,95,95,dingin,pagi,rendah
123,2011-01-06,Spring,2011,January,8,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.16,0.2273,0.59,0.0,3,216,219,dingin,pagi,rendah
124,2011-01-06,Spring,2011,January,9,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.18,0.2424,0.51,0.0,6,116,122,dingin,pagi,rendah
125,2011-01-06,Spring,2011,January,10,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.2576,0.47,0.0,3,42,45,dingin,pagi,rendah
126,2011-01-06,Spring,2011,January,11,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2576,0.44,0.0896,2,57,59,dingin,siang,rendah
127,2011-01-06,Spring,2011,January,12,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2879,0.35,0.0,6,78,84,dingin,siang,rendah
128,2011-01-06,Spring,2011,January,13,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2727,0.35,0.1045,12,55,67,dingin,siang,rendah
129,2011-01-06,Spring,2011,January,14,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.28,0.2727,0.36,0.1642,11,59,70,dingin,siang,rendah
130,2011-01-06,Spring,2011,January,15,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.28,0.2727,0.36,0.0,8,54,62,dingin,siang,rendah
131,2011-01-06,Spring,2011,January,16,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.26,0.2576,0.38,0.1642,12,74,86,dingin,siang,rendah
132,2011-01-06,Spring,2011,January,17,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.51,0.1642,9,163,172,dingin,sore,rendah
133,2011-01-06,Spring,2011,January,18,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2273,0.51,0.1343,5,158,163,dingin,sore,rendah
134,2011-01-06,Spring,2011,January,19,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.2576,0.55,0.0896,3,109,112,dingin,malam,rendah
135,2011-01-06,Spring,2011,January,20,No,Friday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.2121,0.51,0.1642,3,66,69,dingin,malam,rendah
136,2011-01-06,Spring,2011,January,21,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.22,0.2121,0.55,0.2239,0,48,48,dingin,malam,rendah
137,2011-01-06,Spring,2011,January,22,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.22,0.2121,0.51,0.2836,1,51,52,dingin,malam,rendah
138,2011-01-06,Spring,2011,January,23,No,Friday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.59,0.194,4,19,23,dingin,malam,rendah
139,2011-01-07,Spring,2011,January,0,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.64,0.194,4,13,17,dingin,subuh,rendah
140,2011-01-07,Spring,2011,January,1,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.69,0.2239,2,5,7,dingin,subuh,rendah
141,2011-01-07,Spring,2011,January,2,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.69,0.2239,0,1,1,dingin,subuh,rendah
142,2011-01-07,Spring,2011,January,4,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.2121,0.69,0.1343,0,1,1,dingin,subuh,rendah
143,2011-01-07,Spring,2011,January,5,No,Saturday,Yes,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.22,0.2727,0.55,0.0,0,5,5,dingin,subuh,rendah
144,2011-01-07,Spring,2011,January,6,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.2576,0.69,0.0,8,26,34,dingin,subuh,rendah
145,2011-01-07,Spring,2011,January,7,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.2121,0.69,0.1343,8,76,84,dingin,pagi,rendah
146,2011-01-07,Spring,2011,January,8,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.197,0.51,0.2537,20,190,210,dingin,pagi,rendah
147,2011-01-07,Spring,2011,January,9,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.2,0.1818,0.47,0.2985,9,125,134,dingin,pagi,rendah
148,2011-01-07,Spring,2011,January,10,No,Saturday,Yes,"Clear, Few clouds, Partly cloudy",0.22,0.197,0.37,0.3284,16,47,63,dingin,pagi,rendah
149,2011-01-07,Spring,2011,January,11,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.4,0.2239,19,48,67,dingin,siang,rendah
150,2011-01-07,Spring,2011,January,12,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.37,0.2537,9,50,59,dingin,siang,rendah
151,2011-01-07,Spring,2011,January,13,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.1818,0.37,0.2836,9,64,73,dingin,siang,rendah
152,2011-01-07,Spring,2011,January,14,No,Saturday,Yes,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.2,0.197,0.4,0.2537,7,43,50,dingin,siang,rendah
